uniprot_domain_id	uniprot_id	pfam_name	alignment_def	hmm_accession	hmm_name	hmm_type	hmm_clan_accession	hmm_clan_name
20	Q9UII5	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	258:281,343:366,370:394	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
21	Q9UII5	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	398:422,427:450,454:478	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
22	Q9UII5	zf-H2C2_2+zf-H2C2_2+zf-H2C2_2	483:506,622:646,651:673	PF13465.1,PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2,zf-H2C2_2	Domain,Domain,Domain	CL0361,CL0361,CL0361	C2H2-zf,C2H2-zf,C2H2-zf
23	Q9UII5	zf-H2C2_2	679:702	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
24	Q9UII5	zf-H2C2_2	706:730	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
25	Q6IS14	eIF-5a	83:150	PF01287.15	eIF-5a	Family	CL0021	OB
26	O60906	Exo_endo_phos	14:272	PF03372.18	Exo_endo_phos	Domain	CL0530	DNase_I-like
27	Q96NZ9	PRAP	105:149	PF15314.1	PRAP	Family	\N	\N
28	Q9BWT1	zf-4CXXC_R1	261:361	PF10497.4	zf-4CXXC_R1	Domain	\N	\N
29	P08493	Gla	56:97	PF00594.15	Gla	Domain	\N	\N
30	Q969D9	TSLP	29:153	PF15216.1	TSLP	Family	\N	\N
31	Q8NCA9	zf-H2C2_2+zf-H2C2_2	115:139,212:234	PF13465.1,PF13465.1	zf-H2C2_2,zf-H2C2_2	Domain,Domain	CL0361,CL0361	C2H2-zf,C2H2-zf
32	Q8NCA9	zf-H2C2_2	239:263	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
33	P05111	TGF_beta	260:366	PF00019.15	TGF_beta	Domain	CL0079	Cystine-knot
34	Q9Y2V3	Homeobox	137:193	PF00046.24	Homeobox	Domain	CL0123	HTH
35	Q9Y2V3	OAR	318:338	PF03826.12	OAR	Domain	\N	\N
36	Q14185	SH3_9	16:65	PF14604.1	SH3_9	Domain	CL0010	SH3
37	Q14185	DOCK-C2	420:619	PF14429.1	DOCK-C2	Family	CL0154	C2
38	Q14185	Ded_cyto	1427:1609	PF06920.8	Ded_cyto	Family	\N	\N
39	Q86VR7	Ig_2	414:490	PF13895.1	Ig_2	Domain	CL0011	Ig
40	Q96H96	UbiA	87:333	PF01040.13	UbiA	Family	\N	\N
41	Q13613	GRAM	109:160	PF02893.15	GRAM	Family	CL0266	PH
42	Q13613	Myotub-related	213:551	PF06602.9	Myotub-related	Domain	CL0031	Phosphatase
43	O60303	DUF4457	463:606	PF14652.1	DUF4457	Family	\N	\N
44	O60303	DUF4457	979:1128	PF14652.1	DUF4457	Family	\N	\N
45	O60303	DUF4457	1213:1534	PF14652.1	DUF4457	Family	\N	\N
46	P45954	Acyl-CoA_dh_N	58:168	PF02771.11	Acyl-CoA_dh_N	Domain	CL0544	AcylCoA_ox_dh_N
47	P45954	Acyl-CoA_dh_M	173:223	PF02770.14	Acyl-CoA_dh_M	Domain	\N	\N
48	P45954	Acyl-CoA_dh_1	280:428	PF00441.19	Acyl-CoA_dh_1	Domain	CL0087	Acyl-CoA_dh
49	Q8NGF9	7tm_4	132:271	PF13853.1	7tm_4	Family	CL0192	GPCR_A
50	Q9NZF1	PLAC8	26:105	PF04749.12	PLAC8	Family	\N	\N
51	Q99614	TPR_11	118:186	PF13414.1	TPR_11	Repeat	CL0020	TPR
52	Q99614	TPR_1	191:221	PF00515.23	TPR_1	Repeat	CL0020	TPR
53	Q6PD74	Adaptin_binding	155:294	PF10199.4	Adaptin_binding	Family	\N	\N
54	Q8IWW6	SH3_9	19:70	PF14604.1	SH3_9	Domain	CL0010	SH3
55	Q8IWW6	WW	269:296	PF00397.21	WW	Domain	\N	\N
56	Q8IWW6	PH	481:573	PF00169.24	PH	Domain	CL0266	PH
57	Q8IWW6	RhoGAP	670:818	PF00620.22	RhoGAP	Domain	CL0409	GAP
58	Q7RTT5	SSXRD	155:188	PF09514.5	SSXRD	Motif	\N	\N
59	Q5SZK8	Calx-beta	1770:1858	PF03160.9	Calx-beta	Domain	\N	\N
60	Q5SZK8	Calx-beta	1871:1982	PF03160.9	Calx-beta	Domain	\N	\N
61	Q5SZK8	Calx-beta	1998:2102	PF03160.9	Calx-beta	Domain	\N	\N
62	Q5SZK8	Calx-beta	2117:2219	PF03160.9	Calx-beta	Domain	\N	\N
63	Q5SZK8	Calx-beta	2244:2341	PF03160.9	Calx-beta	Domain	\N	\N
64	Q9P2G3	BTB+BTB	24:65,116:180	PF00651.26,PF00651.26	BTB,BTB	Domain,Domain	CL0033,CL0033	POZ,POZ
65	Q9P2G3	BACK	210:279	PF07707.10	BACK	Domain	CL0033	POZ
66	Q9P2G3	Kelch_1	363:411,414:458,461:505,560:602	PF01344.20,PF01344.20,PF01344.20,PF01344.20	Kelch_1,Kelch_1,Kelch_1,Kelch_1	Repeat,Repeat,Repeat,Repeat	CL0186,CL0186,CL0186,CL0186	Beta_propeller,Beta_propeller,Beta_propeller,Beta_propeller
67	Q9NT99	LRRNT	57:85	PF01462.13	LRRNT	Family	\N	\N
68	Q9NT99	LRR_5	101:223	PF13306.1	LRR_5	Family	CL0022	LRR
69	Q9NT99	LRR_8	253:311	PF13855.1	LRR_8	Repeat	CL0022	LRR
70	Q9NT99	I-set	364:453	PF07679.11	I-set	Domain	CL0011	Ig
71	P05814	Casein	129:212	PF00363.13	Casein	Family	\N	\N
72	Q13813	Spectrin	45:146,150:251,256:358,361:465,468:570,574:676,679:781,785:888,891:969	PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16	Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin	Domain,Domain,Domain,Domain,Domain,Domain,Domain,Domain,Domain	\N	\N
73	Q13813	SH3_1	974:1018	PF00018.23	SH3_1	Domain	CL0010	SH3
74	Q13813	Spectrin	1096:1166,1233:1336,1339:1442,1446:1549,1552:1656,1659:1762,1764:1868,1871:1974,1978:2081,2092:2194,2206:2310	PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16,PF00435.16	Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin,Spectrin	Domain,Domain,Domain,Domain,Domain,Domain,Domain,Domain,Domain,Domain,Domain	\N	\N
75	Q13813	EF-hand_7	2326:2395	PF13499.1	EF-hand_7	Domain	CL0220	EF_hand
76	Q13813	EFhand_Ca_insen	2402:2470	PF08726.5	EFhand_Ca_insen	Domain	CL0220	EF_hand
77	P50452	Serpin	7:374	PF00079.15	Serpin	Domain	\N	\N
78	Q9H208	7tm_4	131:270	PF13853.1	7tm_4	Family	CL0192	GPCR_A
79	Q96D31	Orai-1	68:269	PF07856.7	Orai-1	Family	\N	\N
80	P40126	Tyrosinase	181:408	PF00264.15	Tyrosinase	Domain	CL0205	Di-copper
81	Q9ULC5	AMP-binding	101:547	PF00501.23	AMP-binding	Family	CL0378	ANL
82	Q2M2I3	DUF1669	12:290	PF07894.7	DUF1669	Family	CL0479	PLD
83	Q6ZW33	DUF3585	543:682	PF12130.3	DUF3585	Domain	\N	\N
84	Q9BRR8	DUF1604	30:116	PF07713.8	DUF1604	Family	\N	\N
85	Q9BRR8	G-patch	154:178	PF01585.18	G-patch	Family	CL0449	G-PATCH
86	Q86Y28	BAGE	1:28	PF08180.6	BAGE	Family	\N	\N
87	Q15417	CH	29:126	PF00307.26	CH	Domain	CL0188	CH
88	Q15417	Calponin	164:189,204:229,243:268	PF00402.13,PF00402.13,PF00402.13	Calponin,Calponin,Calponin	Repeat,Repeat,Repeat	\N	\N
89	O00203	Adaptin_N	43:582	PF01602.15	Adaptin_N	Family	CL0020	TPR
90	O00203	SEEEED	670:802	PF14797.1	SEEEED	Family	\N	\N
91	O00203	AP3B1_C	813:958	PF14796.1	AP3B1_C	Family	\N	\N
92	Q8TBK2	SET	74:286	PF00856.23	SET	Family	\N	\N
93	Q8TBK2	Rubis-subs-bind	334:465	PF09273.6	Rubis-subs-bind	Domain	\N	\N
94	Q16643	Cofilin_ADF	12:133	PF00241.15	Cofilin_ADF	Domain	CL0092	ADF
95	Q14161	ArfGap	6:118	PF01412.13	ArfGap	Domain	\N	\N
96	Q14161	Ank_2	137:226	PF12796.2	Ank_2	Family	CL0465	Ank
97	Q14161	GIT_SHD	266:296	PF08518.6	GIT_SHD	Family	\N	\N
98	Q14161	GIT_SHD	330:359	PF08518.6	GIT_SHD	Family	\N	\N
99	Q14161	GIT1_C	633:754	PF12205.3	GIT1_C	Domain	\N	\N
100	Q68J44	DSPc	62:198	PF00782.15	DSPc	Domain	CL0031	Phosphatase
101	A6NFY7	Complex1_LYR	9:63	PF05347.10	Complex1_LYR	Family	CL0491	LYR-like
102	Q7Z7M9	Glycos_transf_2+Glyco_transf_7C	499:681,669:726	PF00535.21,PF02709.9	Glycos_transf_2,Glyco_transf_7C	Family,Family	CL0110,CL0110	GT-A,GT-A
103	Q7Z7M9	Ricin_B_lectin	811:932	PF00652.17	Ricin_B_lectin	Domain	CL0066	Trefoil
104	Q9Y6F9	wnt	40:364	PF00110.14	wnt	Family	\N	\N
105	Q17R31	TatD_DNase	9:265	PF01026.16	TatD_DNase	Family	CL0034	Amidohydrolase
106	Q86T96	zf-C3HC4_3	431:480	PF13920.1	zf-C3HC4_3	Domain	CL0229	RING
107	Q9H2M9	RAB3GAP2_N	74:498	PF14655.1	RAB3GAP2_N	Family	\N	\N
108	Q9H2M9	RAB3GAP2_C	769:1370	PF14656.1	RAB3GAP2_C	Family	\N	\N
109	Q9Y5Y7	Xlink	46:129	PF00193.12	Xlink	Domain	CL0056	C_Lectin
110	O75900	Peptidase_M10	87:254	PF00413.19	Peptidase_M10	Domain	CL0126	Peptidase_MA
111	O75900	ShK	255:289	PF01549.19	ShK	Domain	CL0213	ShK-like
112	O75900	Ig_2	306:388	PF13895.1	Ig_2	Domain	CL0011	Ig
113	A6NEH6	TMEM247	1:219	PF15444.1	TMEM247	Family	\N	\N
114	Q99466	EGF_CA	194:227	PF07645.10	EGF_CA	Domain	CL0001	EGF
115	Q99466	EGF+EGF	238:271,280:308	PF00008.22,PF00008.22	EGF,EGF	Domain,Domain	CL0001,CL0001	EGF,EGF
116	Q99466	EGF_CA	314:350	PF07645.10	EGF_CA	Domain	CL0001	EGF
117	Q99466	EGF_CA	432:468	PF07645.10	EGF_CA	Domain	CL0001	EGF
118	Q99466	EGF	517:546	PF00008.22	EGF	Domain	CL0001	EGF
119	Q99466	EGF_CA	551:584	PF07645.10	EGF_CA	Domain	CL0001	EGF
120	Q99466	EGF+EGF+EGF	593:622,771:801,810:838	PF00008.22,PF00008.22,PF00008.22	EGF,EGF,EGF	Domain,Domain,Domain	CL0001,CL0001,CL0001	EGF,EGF,EGF
121	Q99466	EGF+EGF+EGF	901:925,934:964,972:1001	PF00008.22,PF00008.22,PF00008.22	EGF,EGF,EGF	Domain,Domain,Domain	CL0001,CL0001,CL0001	EGF,EGF,EGF
122	Q99466	\Notch	1166:1204,1210:1246,1249:1285	PF00066.12,PF00066.12,PF00066.12	\Notch,Notch,Notch	Domain,Domain,Domain	\N	\N
123	Q99466	\NODP	1378:1440	PF07684.7	\NODP	Family	\N	\N
124	Q99466	Ank_2	1619:1689,1696:1764	PF12796.2,PF12796.2	Ank_2,Ank_2	Family,Family	CL0465,CL0465	Ank,Ank
125	P07478	Trypsin	24:239	PF00089.21	Trypsin	Domain	CL0124	Peptidase_PA
126	P78380	Lectin_C	164:266	PF00059.16	Lectin_C	Domain	CL0056	C_Lectin
127	Q8NGH3	7tm_4	155:299	PF13853.1	7tm_4	Family	CL0192	GPCR_A
128	Q96DC8	ECH	54:293	PF00378.15	ECH	Family	CL0127	ClpP_crotonase
129	Q96BM9	Arf	12:179	PF00025.16	Arf	Domain	CL0023	P-loop_NTPase
130	Q01105	\NAP	43:235	PF00956.13	\NAP	Family	\N	\N
131	Q9H0P0	UMPH-1	91:336	PF05822.7	UMPH-1	Family	CL0137	HAD
132	Q9H0B6	Rab5-bind	69:239	PF09311.6	Rab5-bind	Family	CL0020	TPR
133	Q9H0B6	TPR_10	239:279	PF13374.1	TPR_10	Repeat	CL0020	TPR
134	Q9H0B6	TPR_12	278:354	PF13424.1	TPR_12	Repeat	CL0020	TPR
135	Q9H0B6	TPR_10	365:395	PF13374.1	TPR_10	Repeat	CL0020	TPR
136	P23246	RRM_1+RRM_1	299:363,374:433	PF00076.17,PF00076.17	RRM_1,RRM_1	Domain,Domain	CL0221,CL0221	RRM,RRM
137	P23246	\NOPS	444:495	PF08075.6	\NOPS	Domain	\N	\N
138	Q9BVV6	TALPID3	100:1343	PF15324.1	TALPID3	Family	\N	\N
139	Q9UKW4	CAMSAP_CH	19:103	PF11971.3	CAMSAP_CH	Domain	CL0188	CH
140	Q9UKW4	RhoGEF	196:370	PF00621.15	RhoGEF	Domain	\N	\N
141	Q9UKW4	PH	411:501	PF00169.24	PH	Domain	CL0266	PH
142	Q9UKW4	C1_1	514:563	PF00130.17	C1_1	Domain	CL0006	C1
143	Q9UKW4	SH3_2	597:658	PF07653.12	SH3_2	Domain	CL0010	SH3
144	Q9UKW4	SH2	672:746	PF00017.19	SH2	Domain	CL0541	SH2-like
145	Q9UKW4	SH3_2	798:845	PF07653.12	SH3_2	Domain	CL0010	SH3
146	Q5JU85	Sec7	745:930	PF01369.15	Sec7	Domain	\N	\N
147	Q5T1Q4	DUF914	51:384	PF06027.7	DUF914	Family	CL0184	DMT
148	A0PJZ3	Glyco_transf_8	114:360	PF01501.15	Glyco_transf_8	Family	CL0110	GT-A
149	P02787	Transferrin	25:347	PF00405.12	Transferrin	Domain	CL0177	PBP
150	P02787	Transferrin	361:683	PF00405.12	Transferrin	Domain	CL0177	PBP
151	P59103	DAOA	72:153	PF15199.1	DAOA	Family	\N	\N
152	Q7L590	zf-primase	382:427	PF09329.6	zf-primase	Domain	\N	\N
153	Q7L590	Mcm10	523:873	PF09332.6	Mcm10	Domain	\N	\N
154	Q86Y39	Tim17	49:126	PF02466.14	Tim17	Family	\N	\N
155	O00570	HMG_box	51:119	PF00505.14	HMG_box	Domain	CL0114	HMG-box
156	O00570	SOXp	120:224	PF12336.3	SOXp	Family	\N	\N
157	P07327	ADH_N	35:161	PF08240.7	ADH_N	Domain	CL0296	GroES
158	P07327	ADH_zinc_N	203:332	PF00107.21	ADH_zinc_N	Family	CL0063	\NADP_Rossmann
159	Q8NBF1	zf-H2C2_2	278:305	PF13465.1	zf-H2C2_2	Domain	CL0361	C2H2-zf
160	Q8NI27	Thoc2	568:644	PF11732.3	Thoc2	Family	\N	\N
161	Q8NI27	Tho2	871:1174	PF11262.3	Tho2	Family	\N	\N
162	P11234	Ras	16:177	PF00071.17	Ras	Domain	CL0023	P-loop_NTPase
163	Q6PDA7	Sperm_Ag_HE2	2:71	PF05324.8	Sperm_Ag_HE2	Family	\N	\N
164	Q5XUX1	F-box-like	80:121	PF12937.2	F-box-like	Domain	CL0271	F-box
165	Q5XUX1	WD40	223:252	PF00400.27	WD40	Repeat	CL0186	Beta_propeller
166	P05026	\Na_K-ATPase	2:298	PF00287.13	\Na_K-ATPase	Family	\N	\N
167	Q9Y3B3	EMP24_GP25L	37:212	PF01105.19	EMP24_GP25L	Domain	CL0521	GOLD-like
168	O95049	PDZ+PDZ	13:88,199:269	PF00595.19,PF00595.19	PDZ,PDZ	Domain,Domain	CL0466,CL0466	PDZ-like,PDZ-like
169	O95049	PDZ	402:462	PF00595.19	PDZ	Domain	CL0466	PDZ-like
170	O95049	SH3_2	493:561	PF07653.12	SH3_2	Domain	CL0010	SH3
171	O95049	Guanylate_kin	676:776	PF00625.16	Guanylate_kin	Family	CL0023	P-loop_NTPase
172	P55075	FGF	70:193	PF00167.13	FGF	Domain	CL0066	Trefoil
173	Q5NDL2	DUF563	245:470	PF04577.9	DUF563	Family	\N	\N
174	Q9BZM6	MHC_I	39:203	PF00129.13	MHC_I	Domain	CL0343	MHC
175	P47914	Ribosomal_L29e	3:42	PF01779.12	Ribosomal_L29e	Family	\N	\N
176	Q9BZR9	zf-C3HC4_4	15:55	PF15227.1	zf-C3HC4_4	Domain	CL0229	RING
177	P07199	CENP-B_N	3:55	PF04218.8	CENP-B_N	Domain	CL0123	HTH
178	P07199	HTH_Tnp_Tc5	75:134	PF03221.11	HTH_Tnp_Tc5	Domain	CL0123	HTH
179	P07199	DDE_1	186:384	PF03184.14	DDE_1	Family	CL0219	RNase_H
180	P07199	CENP-B_dimeris	499:599	PF09026.5	CENP-B_dimeris	Domain	\N	\N
181	Q9Y3A5	SBDS	13:102	PF01172.13	SBDS	Family	\N	\N
182	Q9Y3A5	SBDS_C	106:227	PF09377.5	SBDS_C	Domain	CL0437	EF-G_C
183	Q9NR61	MNNL	27:91	PF07657.8	MNNL	Family	\N	\N
184	Q9NR61	DSL	155:217	PF01414.14	DSL	Domain	CL0001	EGF
185	Q9NR61	EGF+EGF+EGF	288:318,328:358,366:398	PF00008.22,PF00008.22,PF00008.22	EGF,EGF,EGF	Domain,Domain,Domain	CL0001,CL0001,CL0001	EGF,EGF,EGF
186	Q9NR61	EGF	406:434	PF00008.22	EGF	Domain	CL0001	EGF
187	Q9NR61	EGF	444:474	PF00008.22	EGF	Domain	CL0001	EGF
188	O43677	\NADH_dh_m_C1	28:76	PF15088.1	\NADH_dh_m_C1	Family	\N	\N
189	E9PGG2	Homeobox	157:193	PF00046.24	Homeobox	Domain	CL0123	HTH
190	Q9BY12	zf-met	793:816	PF12874.2	zf-met	Domain	CL0361	C2H2-zf
191	A8MUU1	Lipocalin	15:98	PF00061.18	Lipocalin	Domain	CL0116	Calycin
192	Q96CX2	BTB_2	36:125	PF02214.17	BTB_2	Domain	CL0033	POZ
193	Q96RD2	7tm_4	147:287	PF13853.1	7tm_4	Family	CL0192	GPCR_A
194	P59533	TAS2R	14:314	PF05296.8	TAS2R	Family	CL0192	GPCR_A
195	P60174	TIM	45:282	PF00121.13	TIM	Domain	CL0036	TIM_barrel
196	O43854	EGF+EGF	26:57,78:115	PF00008.22,PF00008.22	EGF,EGF	Domain,Domain	CL0001,CL0001	EGF,EGF
197	O43854	F5_F8_type_C	173:311	PF00754.20	F5_F8_type_C	Domain	CL0202	GBD
198	O43854	F5_F8_type_C	334:473	PF00754.20	F5_F8_type_C	Domain	CL0202	GBD
199	Q58WW2	WD40	43:75	PF00400.27	WD40	Repeat	CL0186	Beta_propeller
200	Q15365	KH_1+KH_1	15:75,99:162	PF00013.24,PF00013.24	KH_1,KH_1	Domain,Domain	CL0007,CL0007	KH,KH
201	Q15365	KH_1	282:343	PF00013.24	KH_1	Domain	CL0007	KH
202	Q7LGC8	Sulfotransfer_1	133:452	PF00685.22	Sulfotransfer_1	Domain	CL0023	P-loop_NTPase
203	Q6ZNB5	XRCC1_N	1:116	PF01834.11	XRCC1_N	Domain	CL0202	GBD
204	P30044	Redoxin	57:199	PF08534.5	Redoxin	Domain	CL0172	Thioredoxin
205	Q9UBD5	ORC3_N	17:344	PF07034.6	ORC3_N	Family	\N	\N
206	Q8WUY1	4HBT_2	54:185	PF13279.1	4HBT_2	Domain	CL0050	HotDog
207	Q12918	Lectin_C	114:212	PF00059.16	Lectin_C	Domain	CL0056	C_Lectin
208	Q9NW13	RRM_1+RRM_1	6:68,116:184	PF00076.17,PF00076.17	RRM_1,RRM_1	Domain,Domain	CL0221,CL0221	RRM,RRM
209	Q9NW13	RRM_1	337:395	PF00076.17	RRM_1	Domain	CL0221	RRM
210	Q9NW13	RRM_6	490:567	PF14259.1	RRM_6	Domain	CL0221	RRM
211	Q8NE63	Pkinase	11:347	PF00069.20	Pkinase	Domain	CL0016	PKinase
212	Q68DK7	PEHE	473:591	PF15275.1	PEHE	Family	\N	\N
213	Q92753	zf-C4	20:88	PF00105.13	zf-C4	Domain	\N	\N
214	Q92753	Hormone_recep	255:442	PF00104.25	Hormone_recep	Domain	\N	\N
215	Q5J8M3	DUF1077	56:172	PF06417.7	DUF1077	Family	\N	\N
216	Q96PG2	CD20	60:193	PF04103.10	CD20	Family	CL0347	Tetraspannin
217	Q9H2F5	EPL1	6:148	PF10513.4	EPL1	Family	\N	\N
218	Q9H2F5	E_Pc_C	582:836	PF06752.7	E_Pc_C	Family	\N	\N
219	P62166	EF-hand_1	68:90	PF00036.27	EF-hand_1	Domain	CL0220	EF_hand
220	P62166	EF-hand_7	100:171	PF13499.1	EF-hand_7	Domain	CL0220	EF_hand
221	P78332	RRM_6	458:529	PF14259.1	RRM_6	Domain	CL0221	RRM
222	P78332	RRM_6	658:733	PF14259.1	RRM_6	Domain	CL0221	RRM
223	P78332	G-patch	1051:1094	PF01585.18	G-patch	Family	CL0449	G-PATCH
224	Q9NP73	Glyco_tran_28_C	4:125	PF04101.11	Glyco_tran_28_C	Domain	CL0113	GT-B
225	Q9NP73	OTU	238:346	PF02338.14	OTU	Family	CL0125	Peptidase_CA
226	P32780	TFIIH_BTF_p62_N	10:81	PF08567.6	TFIIH_BTF_p62_N	Domain	\N	\N
227	P32780	BSD	104:148	PF03909.12	BSD	Domain	\N	\N
228	P32780	BSD	179:235	PF03909.12	BSD	Domain	\N	\N
229	P30041	AhpC-TSA	7:144	PF00578.16	AhpC-TSA	Domain	CL0172	Thioredoxin
230	P30041	1-cysPrx_C	166:205	PF10417.4	1-cysPrx_C	Domain	\N	\N
231	P12814	CH	35:134	PF00307.26	CH	Domain	CL0188	CH
232	P12814	CH	148:249	PF00307.26	CH	Domain	CL0188	CH
233	P12814	Spectrin	275:383,394:498,510:620,631:732	PF00435.16,PF00435.16,PF00435.16,PF00435.16	Spectrin,Spectrin,Spectrin,Spectrin	Domain,Domain,Domain,Domain	\N	\N
234	P12814	EF-hand_6	750:779	PF13405.1	EF-hand_6	Domain	CL0220	EF_hand
235	P12814	EFhand_Ca_insen	822:888	PF08726.5	EFhand_Ca_insen	Domain	CL0220	EF_hand
236	Q96D42	V-set	26:111	PF07686.12	V-set	Domain	CL0011	Ig
237	Q8TCT7	PA	71:148	PF02225.17	PA	Family	\N	\N
238	Q8TCT7	Peptidase_A22B	214:500	PF04258.8	Peptidase_A22B	Family	CL0130	Peptidase_AD
239	Q9NP56	PDEase_I	172:396	PF00233.14	PDEase_I	Domain	CL0237	HD_PDEase
240	O60291	zf-C3HC4_3	275:321	PF13920.1	zf-C3HC4_3	Domain	CL0229	RING
241	P27708	CPSase_sm_chain	2:138	PF00988.17	CPSase_sm_chain	Domain	\N	\N
242	P27708	GATase	180:355	PF00117.23	GATase	Domain	CL0014	Glutaminase_I
243	P27708	CPSase_L_chain+CPSase_L_D2+CPSase_L_D3	394:509,514:717,801:921	PF00289.17,PF02786.12,PF02787.14	CPSase_L_chain,CPSase_L_D2,CPSase_L_D3	Domain,Domain,Domain	\N	\N
244	P27708	CPSase_L_chain+CPSase_L_D2	934:1042,1050:1247	PF00289.17,PF02786.12	CPSase_L_chain,CPSase_L_D2	Domain,Domain	\N	\N
245	P27708	MGS	1327:1427	PF02142.17	MGS	Domain	\N	\N
246	P27708	Amidohydro_4	1464:1743	PF13147.1	Amidohydro_4	Domain	CL0034	Amidohydrolase
247	P27708	OTCace_N	1924:2066	PF02729.16	OTCace_N	Domain	\N	\N
248	P27708	OTCace	2071:2220	PF00185.19	OTCace	Domain	\N	\N
249	A1A580	PMG	1:41	PF05287.7	PMG	Family	CL0520	Keratin_assoc
250	Q9NY27	PPP4R2	3:261	PF09184.6	PPP4R2	Family	\N	\N
251	Q16559	HLH	6:54	PF00010.21	HLH	Domain	\N	\N
252	Q8N957	Ank_4	137:194	PF13637.1	Ank_4	Domain	CL0465	Ank
253	Q8N957	fn3	274:358	PF00041.16	fn3	Domain	CL0159	E-set
254	Q13952	CBFD_NFYB_HMF	42:105	PF00808.18	CBFD_NFYB_HMF	Domain	CL0012	Histone
255	O15121	Lipid_DES	5:42	PF08557.5	Lipid_DES	Domain	\N	\N
256	O15121	FA_desaturase	68:285	PF00487.19	FA_desaturase	Domain	\N	\N
257	Q8N3J3	DUF4539	493:576	PF15072.1	DUF4539	Family	\N	\N
258	P62263	Ribosomal_S11	29:147	PF00411.14	Ribosomal_S11	Family	CL0267	S11_L18p
259	Q9BZC7	ABC2_membrane_3	704:912	PF12698.2	ABC2_membrane_3	Family	CL0181	ABC-2
260	Q9BZC7	ABC_tran	1007:1151	PF00005.22	ABC_tran	Domain	CL0023	P-loop_NTPase
261	Q9BZC7	ABC2_membrane_3	1725:2007	PF12698.2	ABC2_membrane_3	Family	CL0181	ABC-2
262	Q9BZC7	ABC_tran	2072:2213	PF00005.22	ABC_tran	Domain	CL0023	P-loop_NTPase
